ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
65054,97472,1-BR,66%-70%,3,"1,117","1,117","1,117",978,983,851
65054,97472,2-BR,66%-70%,7,"1,350","1,350","1,350","1,301","1,348","1,003"
65054,97472,3-BR,66%-70%,7,"1,553","1,553","1,553","1,185","1,380","1,024"
65054,74425,1-BR,66%-70%,1,"1,117","1,117","1,117",966,966,966
65054,74425,2-BR,66%-70%,7,"1,350","1,350","1,350","1,157","1,311",916
65054,74425,3-BR,66%-70%,2,"1,553","1,553","1,553","1,331.5","1,483","1,180"
65298,985028,1-BR,66%-70%,20,"1,298","1,298","1,298","1,239","1,239","1,239"
65298,985028,2-BR,66%-70%,19,"1,567","1,567","1,567","1,496","1,496","1,496"
65298,985028,3-BR,66%-70%,5,"1,803","1,803","1,803","1,722","1,722","1,722"
65298,985028,STUDIO,66%-70%,6,"1,027","1,027","1,027",980,980,980
65599,77389,2-BR,66%-70%,1,,,,"1,581","1,581","1,581"
66144,57063,3-BR,66%-70%,3,,,,,,
66144,57062,3-BR,66%-70%,1,,,,,,
66144,66001,1-BR,66%-70%,1,,,,,,
66144,66001,3-BR,66%-70%,2,,,,,,
66144,74464,2-BR,66%-70%,1,,,,,,
66144,74464,3-BR,66%-70%,2,,,,,,
66144,57059,1-BR,66%-70%,1,,,,,,
66144,57059,2-BR,66%-70%,2,,,,,,
66558,300675,1-BR,66%-70%,1,,,,,,
66558,300675,2-BR,66%-70%,1,,,,,,
66644,985451,1-BR,66%-70%,11,,,,,,
66644,985451,2-BR,66%-70%,4,,,,,,
66644,985451,3-BR,66%-70%,6,,,,,,
66644,985451,STUDIO,66%-70%,2,,,,,,
66805,452,2-BR,66%-70%,1,,,,"1,428","1,428","1,428"
66982,99135,1-BR,66%-70%,1,"1,246","1,246","1,246","1,246","1,246","1,246"
66982,99135,3-BR,66%-70%,1,"1,787","1,787","1,787","1,787","1,787","1,787"
44282,973906,1-BR,71%-80%,21,,,,,,
44282,973906,2-BR,71%-80%,12,,,,,,
44282,973906,STUDIO,71%-80%,15,,,,,,
44288,947359,2-BR,71%-80%,3,,,,,,
44288,946784,2-BR,71%-80%,4,,,,,,
44288,947360,2-BR,71%-80%,4,,,,,,
44288,947361,2-BR,71%-80%,4,,,,,,
44306,926973,3-BR,71%-80%,2,"1,649","1,649","1,649","1,649","1,649","1,649"
44324,927213,1-BR,71%-80%,9,"1,208","1,208","1,208","1,208","1,208","1,208"
44324,927213,2-BR,71%-80%,10,"1,458","1,458","1,458","1,458","1,458","1,458"
44324,927213,3-BR,71%-80%,1,"1,683","1,683","1,683","1,683","1,683","1,683"
44324,927213,STUDIO,71%-80%,2,958,958,958,958,958,958
44332,973751,1-BR,71%-80%,1,,,,,,
44332,973751,2-BR,71%-80%,6,,,,,,
44332,973751,3-BR,71%-80%,3,,,,,,
44332,973750,1-BR,71%-80%,3,,,,,,
44332,973750,2-BR,71%-80%,3,,,,,,
44332,973750,3-BR,71%-80%,1,,,,,,
44332,975662,1-BR,71%-80%,2,,,,,,
44332,975662,2-BR,71%-80%,6,,,,,,
44339,974382,1-BR,71%-80%,10,,,,,,
44339,974382,2-BR,71%-80%,28,,,,,,
44339,974382,3-BR,71%-80%,3,,,,,,
44339,974382,STUDIO,71%-80%,5,,,,,,
45265,38135,1-BR,71%-80%,4,,,,,,
45265,38135,2-BR,71%-80%,3,,,,,,
45265,38122,1-BR,71%-80%,4,,,,,,
